user_id,gender,age_range,new_user,register_days,member_level,device,operative_system,source,total_pages_visited,active_days_30d,days_since_last_login,cart_total,fav_total,last_buy_days,buy_freq,total_spend,avg_order_amount,refund_cnt,churn
U10361,F,25-34,0,416,3,Mobile,Windows,Ads,134,16,2,11,17,14,19,9490.24,526.42,1,0
U10073,M,35-44,0,350,3,PC,Linux,Search,23,1,41,4,8,24,5,1858.78,462.88,0,1
U10374,M,25-34,0,696,1,Mobile,macOS,Ads,152,28,4,36,11,5,58,3968.68,70.84,0,0
U10155,M,25-34,0,307,1,Mobile,Linux,Search,15,11,21,1,0,24,3,262.12,79.08,1,1
U10104,M,35-44,0,130,3,PC,macOS,Search,26,8,45,10,3,38,4,329.83,79.74,1,1
U10394,F,<18,1,402,3,Mobile,macOS,Social,39,7,4,6,7,6,24,13254.96,626.23,0,0
U10377,M,55+,1,498,2,Mobile,Android,Social,91,20,16,13,2,8,52,9940.54,179.02,0,0
U10124,F,25-34,0,286,0,Mobile,macOS,Ads,29,1,83,8,4,40,7,799.96,139.32,0,1
U10068,F,25-34,0,208,1,Mobile,macOS,Social,38,2,14,4,1,16,6,534.6,77.23,0,0
U10450,M,45-54,0,592,2,Mobile,Windows,Social,100,17,0,8,17,12,5,11987.7,2559.17,0,0
U10009,F,55+,1,335,1,Mobile,iOS,Direct,37,0,17,4,3,23,8,1715.43,258.32,2,1
U10194,F,25-34,0,186,4,PC,Android,Email,44,8,29,8,4,74,1,1014.2,1304.55,0,1
U10406,F,35-44,1,872,1,Mobile,Android,Social,93,30,2,7,2,17,6,10882.16,2175.75,0,0
U10084,F,25-34,0,300,0,Mobile,Windows,Search,27,11,47,3,2,60,1,929.05,1097.16,2,1
U10371,M,35-44,0,648,4,Mobile,iOS,Search,49,16,11,33,0,4,21,4897.8,227.07,1,0
U10388,F,25-34,0,443,3,PC,Android,Ads,62,25,3,30,3,13,18,13607.45,832.49,0,0
U10495,F,25-34,1,533,4,PC,Windows,Referral,154,11,4,25,0,6,22,11210.96,595.41,2,0
U10030,F,18-24,0,416,1,Mobile,Android,Search,3,0,19,8,7,69,1,538.54,494.97,0,1
U10316,M,18-24,1,456,2,Mobile,Android,Ads,220,8,8,30,4,10,21,6062.33,320.62,0,0
U10408,M,35-44,0,291,2,Mobile,iOS,Search,172,21,4,15,3,11,12,18514.34,1442.94,0,0
U10490,F,45-54,1,758,1,Mobile,Windows,Direct,86,17,1,23,1,7,9,9676.52,1093.86,0,0
U10491,F,35-44,0,473,2,Tablet,Android,Ads,183,22,2,27,10,18,12,4483.87,446.81,0,0
U10280,M,25-34,0,516,2,Mobile,Android,Search,36,12,0,5,5,13,19,1749.12,88.76,0,0
U10356,M,35-44,0,566,0,Mobile,Linux,Direct,126,8,0,27,17,15,22,7693.22,335.05,0,0
U10076,F,25-34,1,271,2,Mobile,Windows,Direct,63,3,22,4,5,36,7,1297.01,215.55,0,1
U10461,F,18-24,0,433,4,Tablet,Windows,Search,143,9,1,11,6,24,15,5662.68,343.9,0,0
U10497,F,18-24,1,550,2,PC,macOS,Search,40,14,0,18,14,27,16,6157.41,347.81,0,0
U10211,M,25-34,0,252,4,Mobile,macOS,Ads,51,1,8,1,5,32,3,600.95,177.17,0,1
U10101,M,55+,0,191,1,PC,Windows,Search,49,0,8,2,1,60,2,2129.94,893.75,0,1
U10334,M,25-34,0,324,1,PC,iOS,Ads,98,7,1,16,5,2,16,3731.34,221.85,0,0
U10475,M,25-34,0,517,4,Tablet,Windows,Search,140,8,3,37,21,19,45,24617.36,532.01,0,0
U10336,F,25-34,0,448,4,PC,macOS,Search,129,2,14,7,3,11,14,6104.09,516.01,0,0
U10440,F,18-24,0,477,3,Mobile,Android,Email,199,8,0,21,10,6,7,19392.72,2994.76,0,0
U10173,F,25-34,0,315,0,PC,Windows,Search,58,5,47,12,3,58,3,427.5,142.05,0,1
U10002,F,45-54,0,128,1,Mobile,macOS,Search,8,4,25,2,4,80,7,400.52,63.61,0,1
U10333,M,55+,0,828,3,PC,Android,Email,203,17,18,25,10,3,19,3442.02,203.41,0,1
U10409,M,18-24,0,214,0,Mobile,Windows,Direct,339,12,7,9,4,13,49,7366.37,167.5,0,0
U10070,F,55+,0,356,4,PC,macOS,Search,53,0,42,4,1,28,1,873.78,728.59,1,1
U10209,M,25-34,0,254,2,Mobile,Windows,Social,99,4,54,2,3,62,5,2357.15,506.06,0,1
U10063,M,35-44,0,159,2,Mobile,Windows,Referral,20,7,72,6,2,28,1,99.42,126.42,0,1
U10384,F,45-54,0,589,3,Tablet,Windows,Ads,33,18,5,15,15,7,11,20785.58,2236.45,0,0
